Imani Kiambu West,Imani Medical Clinic (Kiambu West)
Imani Kiambu West,Imani Medical Clinic (Kiambu West)
Imani Ruiru,Imani Medical Clinic (Ruiru)
Imara Health Centre,Imara Health Centre
Imara Medical,Imara Medical Clinic
Imarah Health Ltd,Imarah Health LTD
Immaculate Heart Kereita,Immaculate Heart Hospital Kereita
Immaculate Heart of Mary,Immaculate Heart of Mary Hospital
Immanuel,Immanuel Medical Clinic
Imperial,Imperial Clinic
Index,Index Medical centre
Inkamed Pharmaceutical Aga Khan Walk,Inkamed Pharmaceutical Ltd-Aga Khan Walk
Institute for DevelopmentWelfare,Institute for Development and Welfare Services
IOM Wellness,IOM Wellness Clinic
Iran,Iran Medical Clinic
Ishtar MSM,Ishtar MSM
Itotia,Itotia Medical Clinic
Ituramiro,Ituramiro Medical Clinic
Jacaranda Limited Ruiru,Jacaranda Health Limited (Ruiru)
Jacaranda Maternity KIamumbi,Jacaranda Maternity (KIamumbi)
Jacaranda Special School,Jacaranda Special School
Jaggery,Jaggery Medical Clinic
Jahmii,Jahmii Medical Hospital
Jalaram,Jalaram Medical Services
Jamaa Mission,Jamaa Mission Hospital
Jamii Medical Mukuru,Jamii  Medical Clinic Mukuru
Jamii Westlands,Jamii Clinic (Westlands)
Jamii Medical,Jamii Medical Clinic
Jamii Yadah,Jamii Yadah Medical Centre
Jeffrey,Jeffrey Medical Centre
Jeikei,Jeikei Medical Clinic
Jellin,Jellin Medical Clinic
Jerapha Maternity,Jerapha Maternity
Jericho,Jericho Health Centre
Jerusalem,Jerusalem Clinic
Jesse Kay Children's,Jesse Kay Children's Hospital
Jewan,Jewan health services
Jeytee,Jeytee
Jinnah Ave,Jinnah Ave Clinic
Jkia,Jkia Health Centre
Jkuat,Jkuat Hospital
Johanna JustinJinich community Kibera,Johanna Justin-Jinich Community Clinic (Kibera)
Jonalifa,Jonalifa Clinic
Jordan Baptist,Jordan Baptist Medical Clinic
Jordan Ruiru,Jordan Medical Clinic (Ruiru)
Josiah community,Josiah Community Medical Centre
Josma Kasarani,Josma Medical Clinic (Kasarani)
Josmed,Josmed Clinic
Jotram,Jotram Medical Centre
Jowama,Jowama Medical Clinic
Joy Kikuyu,Joy Medical Clinic (Kikuyu Sub-County)
Joy NursingMaternity,Joy Nursing Home and Maternity
Joy Town,Joy Town Clinic
Joyland F Tassia,Joyland F Clinic Tassia
Joyland,Joyland Medical Clinic
Joysafe,Joysafe Medical Centre
Joytown secondary school,Joytown secondary school
Joytown Special School,Joytown Special School
Jubilee,Jubilee Medical Clinic
Juhudi,Juhudi Clinic
Juja Farm,Juja Farm Health Centre
Juja ModernMaternity,Juja Modern Hospital & Maternity
Juja Road,Juja Road Hospital
Just Limited,Just Medical Limited
Kabete Approved School,Kabete Approved School Dispensary
Kabete Barracks,Kabete Barracks Dispensary
Kabete Gardens,Kabete Gardens Hospital
Kabiro,Kabiro Medical Clinic
Kaborom,Kaborom Dispensary
Kaboywo,Kaboywo Dispensary
Kabuchai,Kabuchai Health Centre
Kabula,Kabula Health Centre
Kacopro VCT,Kacopro VCT
Kagaa,Kagaa Health Centre
Kagwe Catholic Dispensary,Kagwe Catholic Dispensary
Kagwe Dispensary,Kagwe Dispensary
Kagwe Health Centre,Kagwe Health Centre
Kagwe Health Services,Kagwe Health Services Clinic
Kahawa Garrison,Kahawa Garrison Health Centre
Kahawa Wendani,Kahawa Wendani Hospital
Kahawa West,Kahawa West Health Centre
Kahuho community,Kahuho Community Dispensary
Kahuho Private,Kahuho Private Dispensary
